Density	GenerationsToStabilize
0,1	99
0,2	226
0,3	648
0,4	368
0,5	852



Generation	Density0.1	Density0.3	Density0.5
0	89	172	293	387	508
1	23	148	365	377	238
2	23	117	260	317	242
3	24	112	251	317	213
4	25	105	260	310	231
5	23	109	269	284	209
6	20	102	256	257	235
7	24	92	272	251	193
8	26	107	263	259	195
9	28	102	222	252	205
10	30	123	206	214	179
11	28	110	179	221	180
12	21	129	210	198	182
13	24	109	183	212	181
14	26	105	180	194	175
15	26	121	183	169	175
16	30	98	181	178	172
17	29	93	166	182	156
18	35	86	176	185	157
19	33	92	164	155	134
20	44	72	170	152	142
21	36	72	180	161	125
22	45	81	162	135	123
23	43	86	164	131	117
24	48	94	167	135	133
25	44	82	167	129	123
26	41	90	171	132	138
27	50	84	166	123	127
28	48	83	148	132	132
29	38	82	149	127	121
30	47	90	148	131	115
31	47	93	138	132	111
32	46	105	129	132	117
33	50	116	115	134	102
34	54	116	98	151	92
35	53	133	110	139	119
36	50	120	106	161	109
37	55	107	108	141	106
38	78	116	114	135	122
39	42	115	120	159	118
40	44	104	130	154	101
41	36	110	123	125	118
42	39	117	120	134	122
43	42	123	127	133	106
44	41	144	125	145	89
45	39	125	118	133	82
46	42	116	98	123	64
47	38	113	103	131	67
48	49	110	102	106	60
49	41	122	108	105	64
50	60	114	117	102	62
51	50	110	122	86	67
52	71	128	128	87	63
53	55	125	120	88	67
54	59	121	107	98	65
55	66	126	108	106	67
56	75	122	111	84	59
57	60	122	125	64	56
58	56	98	125	65	55
59	53	92	131	63	52
60	51	101	140	71	48
61	48	95	138	71	46
62	51	99	111	72	48
63	49	112	123	69	47
64	56	102	109	75	48
65	49	100	105	59	50
66	61	89	94	68	49
67	45	99	91	61	54
68	48	92	100	71	53
69	44	106	104	64	61
70	52	96	111	72	58
71	53	105	114	77	65
72	58	102	107	83	68
73	56	84	114	71	80
74	64	81	115	77	68
75	53	76	98	73	89
76	62	88	110	74	65
77	56	82	97	80	71
78	49	82	88	86	67
79	41	88	81	94	70
80	40	85	91	99	68
81	42	76	89	88	62
82	39	86	96	84	72
83	37	84	111	83	69
84	40	89	114	88	87
85	36	85	113	76	72
86	33	91	112	75	80
87	32	79	98	82	83
88	37	79	121	89	93
89	36	79	100	88	96
90	29	76	89	76	98
91	32	77	87	77	113
92	27	78	83	92	96
93	24	89	73	98	84
94	25	94	68	105	81
95	25	93	66	102	86
96	25	89	70	112	89
97	25	83	71	107	85
98	25	99	69	124	84
99	25	84	72	106	80
100		78	70	118	91
101		70	77	101	82
102		72	87	114	95
103		62	93	102	91
104		64	100	96	97
105		57	89	100	86
106		65	107	90	84
107		62	95	94	90
108		64	107	109	90
109		74	107	100	92
110		83	120	118	88
111		97	117	119	94
112		92	123	121	87
113		108	133	106	92
114		95	133	127	94
115		124	145	107	82
116		106	133	133	80
117		114	142	104	83
118		101	132	107	93
119		117	139	111	69
120		102	138	104	63
121		111	120	91	72
122		78	131	101	67
